id,premise,hypothesis,lang_abv,language,label
17c1f14619,"Britain's best-selling tabloid, the Sun , announced as a front-page world exclusive Friday that Texan model Jerry Hall has started divorce proceedings against aging rock star Mick Jagger at the High Court in London.",The Sun makes millions every year off fake news.,en,English,1
f5f4dc48c1,Savonarola burned in Florence,Florence became Savonarola's new home.,en,English,2
6a98a077a5,"It will be COLOSSAL!""",It will be gigantic.,en,English,0
00c0cdf348,"Colder and further than ever, the voice of the Lord has developed.",God's voice feels so distant and cold,vi,Vietnamese,0
8b8a91643a,27 The difficulty increases as the need for modifications of the boiler to be taken to adapt the SCR to the installation also increases.,27 The difficulty depends on the modifications.,es,Spanish,0
655cc51991,He says men are here.,He said that the men were not here.,en,English,2
a2a8b36437,"Consequently, government decision -making officers and bosses adopt new ways of thinking by examining different ways of achieving goals and using new information to guidance of decisions.",Government representatives refuse to change their lifestyle.,el,Greek,2
ca2570d90c,Such boats were designed to allow for access to arriving ships.,Boats were set up to make it easier to find next ships.,sw,Swahili,0
89fdd6de05,yeah uh-huh oh yeah petting zoos and things,"Yes, petting and other things.",en,English,0
fc9b9e81ec,"I have never understood why international national phones are not used in the English dictionary of all kinds, but this is beyond the scope of our words in this review.",This review is minimal to the scope so they do not discuss why the writing of international Simatical Writers is not used in English dictionaries.,sw,Swahili,0
aa6feee06e,"The disputes and management are now pointing to these food vouchers. Of course, it can also be turned to basic benefits -TANF.",The government has not mentioned anything about food vouchers or benefits.,zh,Chinese,2
14fa262750,"The almost midtown Massabielle quarter (faubourg de Massabielle), is sometimes described as the most picturesque in the city.",The Massabielle quarter is considered the most photogenic.,en,English,0
7e89da4ba3,4) Not enough is known about how nontransportation costs vary with distance.,The ways in which distance affects nontransportation costs is a subject we don't have enough information on.,en,English,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,I am surprised that not many of them are in politics down here.,en,English,2
8540c11e37,"The social security does not contain any established programs exclusively or, above all, for federal employees, such such as: pension and other pensions.",Social insurance does not include a plan for the federal government.,de,German,0
1589ccaac1,The draft treaty was Tommy's bait.,The treaty bait was not for Tommy.,en,English,2
8289cdfc7d,"Therefore, the number of boilermakers may actually grow more quickly than what was assumed.",The number of boil makers will decrease drastically as expected.,en,English,2
b277ab420e,Look at a girl in a white fur parka with boots,The girl is dressed while red.,fr,French,2
792afbd06a,The most legendary feature of the building is related to Guwaha weapons.,There is a lot of great vahera in the building.,ur,Urdu,1
43b978ef75,Others do not make the consumer happy enough.,Others are enough.,tr,Turkish,2
80001fec89,"As long as Assad lives, he can manage these troubles and keep an agreement with Israel.",As long as Assad doesn't die he will be able to take care of the troubles.,en,English,0
d999bfa2a1,The four Javis children? asked Severn.,Severn knows everything about the Jarvis children.,en,English,1
d4dd5ba80d,My brain refusing to command properly.,My brain was not commanding properly.,en,English,0
ad4b9214af,"""So your girl writes that your little farewell activity didn't fare so well, eh?"" he chortled.",Your farewell activity didn't go well.,en,English,0
126018a551,"He looked above the surprise, and then sat with him, taking a glimpse of thinking with him.",She was brave with her hope.,hi,Hindi,1
097b4dfe2a,You have to walk through it).,You need to pass through it on foot.,en,English,0
b0c2761b43,"No, I exclaimed, astonished.","""No!"" I cried out in shock.",en,English,0
61f15fd66d,"On May 1, we must conclude the membership renewal options for the 1991 contributors.",There is a chance for 1500 members to reorganize their membership.,sw,Swahili,1
12840a5edd,TV dinner brought bad stains.,People on TV only eat breakfast and lunch.,zh,Chinese,2
714a367262,"The inability to communicate was a critical element at the crashes of the World Trade Center, the Pentagon and the Someret County, Pennsylvania, where several authorities and several jurisdiction reacted.",It was difficult for people in the World Trade Center to communicate.,de,German,0
37c01740c6,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking.",Styles is responsible for what happened.,en,English,1
3d3149ec45,"Long ago--or away, or whatever--there was a world called That?? and another called Earth.",Erath is the only world that has ever existed.,en,English,2
6c12f1e611,"Then, all the time, it was in the spill vase in Mrs. Inglethorp's bedroom, under our very noses? I cried.","So it was hidden in another country, impossible for us to locate?",en,English,2
9832b523a0,because i always had to do it and so i just pay someone else to do it and they do the they do the cutting they fertilize they um edge and um i think this year i'm going to have some landscaping put in,I have never developed a love for gardening.,en,English,1
71bcd59dd6,' She gets a little obsessive about her sauce.,Her sauce is so complicated that she's obsessed with perfecting each ingredient.,en,English,1
aab0894630,"Rather, kids today are not only little bundles of joy but also are perhaps the ultimate symbols of worldly success and status.","While kids today are symbols of success and status, and their parents are too.",en,English,1
bda3f7467b,"Correctly implemented, this approach provides reasonable insurance that a trip has occurred.",The approach shows you the journey that took place.,fr,French,0
7ca8ba219d,China's civil war sent distressing echoes to Hong Kong.,Japan fought a civil war.,en,English,2
e5c40e04ec,But the blood of the mind may now be.,A country has quickly arrived to conclude its position.,ar,Arabic,0
c69352547f,A postcode can be used by several routes.,EDE postcode is operated by just one route.,de,German,2
cc18ec8d15,"Well, I am in takas and we have a teacher who died from AIDS",I had never gone to Texas.,ar,Arabic,2
05ab8a9326,The prevailing spirit of liberalism in Europe did not reach Spain until late.,Spain was never liberal.,ar,Arabic,2
24444bd5df,"Left on its own resources, this reaction is exergonic and in the presence of excess trimmers, compared to the equilibrium hexamer ratio to trimmers, will flow exergonally to equilibrium by synthesizing the hexamera.","If this reaction is untouched, it will eventually come to balance.",bg,Bulgarian,0
e390988e6f,"The seven grants flow from a new Nonprofit Capacity Building program at the foundation, part of a trend among philanthropists to give money to help organizations grow stronger, rather than to the program services they provide.","The grants flow from a Nonprofit Capacity Building program at the foundation, exemplifying a trend among philanthropists to give money to grow organizations and then to take them over.",en,English,1
9e42108ae0,"Or, eligibility could be restricted to those who have already been pregnant, or at least sexually active; to those over age 13, or under age 21; or some combination thereof.",The age of consent is age 21 as well.,en,English,1
26ef4fcb0c,"The complexity of the subjunctive in French does not worry the least, for the right and simple reason that he does not try to use it.",He does not try because he has no motivation.,fr,French,1
7fa1543ed0,Will the White House change?,Will the White House change?,fr,French,0
2b2010a718,"With the easiest assimilation with the Anglo community, only Protestant schools have accepted their children, Eastern Europe's Jews have graduated from the rich Westmount or have emigrated to Toronto again.",The Jews were more easily integrated into the English community.,el,Greek,0
4acead92d8,"In this respect, bringing Steve Jobs back to save Apple is like bringing Gen.",Steve Jobs came back to Apple.,en,English,0
12127455a8,"And how better are these?- Are you afraid of the clumsy Barbados seeder?What is tormenting you, Peter?I have never seen you scared before.There was a shot behind them.",I never saw Peter to be afraid of something.,ru,Russian,0
89467c0148,"The pathological self -word, and the normal word instead of the legal word, is a maker of trouble and should be avoided.",Self -satisfaction is not a problem.,ar,Arabic,2
7b6768c074,or they had somebody at home that was ill that they had to tend to i mean you can't make it everybody,They did not have anything to do.,en,English,2
de5351757f,"On the contrary, Cite de la Musique is the Musee de la Musique and a giant concert room, Zenith.",The scene is a large concert.,th,Thai,0
11788e6295,"from generation to generation (Michiko Kakutani, the New York Times ). A few, like Pearl K. Bell in the Wall Street Journal , find a surfeit of sweetly obedient docility in the novel and say parts are perilously at the edge of sentimentality.",They complained that the novel lacked any emotions.,en,English,2
5aabaf3da7,I hope we hear each other soon.,Never talk to me again!,bg,Bulgarian,2
75cbac107c,"Hey, no problem, a fine policy.","No worries, a good policy.",en,English,0
bbd3930178,"This is Fannie Flono, she grew up in AG-Augusta, GA, and will talk about some memories from her childhood.",Fannie Flono was able to speak to us today despite her full schedule.,de,German,1
5b09f9eabb,"The m??tro (subway) is the fastest way to move around the city, but the buses, both in the capital and the other big towns, are best for taking in the sights.",Taking the subway is a good way to experience big city life.,en,English,2
97ca4170dd,"My hero, however, is Richard Hezltain, chairman of Overseas Investment Trust, who resigned earlier this month in disagreement with the business plan imposed by his superiors.",Hezltain left his job.,bg,Bulgarian,0
c5c2c039e5,"They were so sure of themselves that they took it for granted he had made a mistake.""",They simply assumed that he'd made a mistake.,en,English,0
b02c0e148c,This music is no secret to retailers.,Music retailers are completely in darkness about this.,hi,Hindi,2
604b64ca7f,i'm on i'm in the Plano school system and living in Richardson and there is a real dichotomy in terms of educational and economic background of the kids that are going to be attending this school,There is a huge amount of poor students and very few wealthy.,en,English,1
e66e2e370a,Stevenson's article shows a fundamental lack of understanding about what our campaign implies.,"Although Stevenson has traveled with us in the campaign, his article makes it clear that he was not paying attention to what the campaign is about, even at the most basic level.",es,Spanish,1
716eeeea2a,okay and and i think we just hang up i don't think we have to do anything else,"That's it, we just hang up, right?",en,English,0
5de2aa81ed,"They capitalized on the natural resources by using the salt to cure fish, which they exported to their home country.",They used salt to cure fish and sent it back home.,en,English,0
6e108e3994,"myself and I like some of your songs, but since I agree as a general rule, I would not choose a rap either","I'm not a rap fan, but I like some of the songs you have.",de,German,0
f0e86993ca,"News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.",News outlets do not blame users or system administrators for security breaches.,en,English,2
aae865505c,Newsweek said that tourists and celebrities flocked to Patacoania.Which was once a escape from the escape Nazi,The new hotel was built in Patagonia to accommodate tourists.,th,Thai,1
b3c705a914,"To their good fortune, he's proving them right.",He is showing that they were correct.,en,English,0
99b71d209e,Too bad it chose to use McIntyre instead.,McIntyre was picked to be used as the closing pitcher.,en,English,1
dd63e67222,"Oh, I understand the atmosphere here",I don't like this style,zh,Chinese,0
fc0a6ac2f5,"His official name was Flavian Amphitheater, after the family name of his builder, the Emperor Vespasian.",Nobody knows how the Pozzuoli amphitheater got its name.,de,German,2
6211b5072d,He was a tragedy in the Cuban chaos and Kaiser got a picture and headed for Andrews Air Force in Washington.,Only one person was killed in a Cuban crisis accident,sw,Swahili,1
8bbc9fd459,and the other thing is the cost it's almost prohibitive to bring it to a dealer,It's cheap to bring it to a dealer.,en,English,2
3c2e8a360d,WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.,A whole life policy is the best choice for someone who expects to live to the age of 90.,en,English,1
b1ad9fb1ef,"2466, discusses the four collections, which include certification of a minimum number of installed and operating microwave links and the maintenance of a computer-readable database.",2466 discusses four collections.,en,English,0
7cc9bb38f9,"The Women's Haven, which provides shelter and outreach to domestic-violence victims, already has a full-time attorney.",There is a full-time attorney at the Women's Haven already.,en,English,0
a8bcd9ccf7,uh high humidity,Air with increased water content.,en,English,0
6c2527b960,"In the case of US 11, the last normal communication from the plane at 8:13 am.",There is no contact from American 11.,vi,Vietnamese,2
80f6ac92a4,"We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.",We can completely ignore the implications of the roles on mobility.,en,English,2
eb04f1a8f0,yeah yeah yeah well because that's the way they they might seem outwardly but boy there's a lots going on in there,There is another layer to the surface.,en,English,0
e7ad6c38fc,"In this situation, the value to the mailer of the improved service would be considered along with the cost of doing the work.",No consideration will be given to the cost of doing the work in this case.,en,English,2
ca2f6459bd,Is there adequate information for judging generalizability?,Output information is way too much generalized.,en,English,1
212fc2ad66,The political cleansing that did not happen through the impeachment process leaves Clinton with a great and serious burden.,The impeachment process involved Clinton's husband as well.,en,English,1
df8998b7a7,"Well, my grandparents are always very, very caring, and my parents are, and we enjoy a good time below.",My grandparents are a very loving couple.,zh,Chinese,0
d5249d1219,isn't it i can remember i've only been here eight years but i can remember coming to work from i used to live in Wylie and i could see downtown Dallas,I have only been here for two years.,en,English,2
a38659ed31,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,en,English,2
ceedd25541,"If anyone has a 1984 edition, he may be angry because he has to buy that book, not a smaller (and less expensive).",Support is cheaper than books.,vi,Vietnamese,0
73fff19324,I told them it was my sister.,I blamed my sister.,es,Spanish,0
8f448b8aa5,"Ajaj had entered the United States with a B-2 tourist visa in New York City on September 9, 1991.",Ajaj had a tourist visa when he went to the United States.,es,Spanish,0
a49ecd3734,"Credibility is a vital factor, and Jim Lehrer does, indeed, have it.",Everyone would believe whatever Jim Lehrer said.,en,English,1
952a08b1f3,There should be someone here who knew more of what was going on in this world than he did now.,He knew he was the only person with any idea of what was going on.,en,English,2
8a4a9c16be,"In 2003, these codes were canceled;Now all issues related to international terrorism receive one code - 315.",All issues related to terrorism receive the highest priority.,ru,Russian,1
73dce915f0,Notices to the opposition lawyer and the court or the administrative agency should be sent.,The opposing lawyer and the Court expect to receive legal opinions.,fr,French,1
e1e92f6499,"President Kennedy tells the pilots: gentlemen, you take good photos.",Kennedy didn't recognize them.,el,Greek,2
4c7b129507,"What is it?We have almost one acre, yes it's weird because we have","It's no fun, we just have a square feet of land.",ur,Urdu,2
ef98cc7a44,"Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.",Accuracy and speed are the first measurements listed on the scorecard.,en,English,1
247c31cc1f,"Therefore, I know you go to the limits to be compassionate and take care of others.",I know you just don't care about people at all.,el,Greek,2
2fa7d36591,"The First Wives Club, a revenge comedy with three abandoned wives, has won most of its first weekend from any other female film in history.",Actors and acting contributed more than the plot on the film sales record of the First Wives Club.,el,Greek,1
ee747eb8ca,"In fact, the word Kuquark in the Oxford dictionary as a verb means `` timing, with the references of the 19th century refers to frogs, crows, and the sad king.",Most people do not know the origin of the word kuark and it indicates the noise issued by the frog.,ar,Arabic,1
dd883e1f46,"On the left of the entrance ramp is the open space once occupied by the Temple of Athena, close to which are the remains of the Pergamene library.",There are no remains visible from the ramp.,en,English,2
ab87e8abac,Um how do you think that the newspaper in Colorado Springs deals with the local interests,Do you think the local newspapers are not interested in what citizens have to say?,de,German,1
640c0172a6,"If you are keen to learn Israeli folk dancing, the Bicurei Ha'etim Cellar in Heftman Street will teach you.",The Bicurei Ha'etim Cellar is the only place to learn Israeli folk dancing.,en,English,1
c4e8713899,"Or Sherlock Holmes?""",Was it Sherlock Holmes?,en,English,0
c776773683,We are so used to hearing as American companies complain about foreign competition that the accusations that Kodak put forward after its defeat are perceived as another whine.,American companies respond to foreign competition.,ru,Russian,0
a14e13370f,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities did not have a railway between them.,en,English,0
39d065817a,Tourist Information offices can be very helpful.,Tourist Information offices are never of any help.,en,English,2
101dc2c1bb,"More detailed implementation plans also will be necessary to address business system, processes, and resource issues.","Detailed implementation plans are necessary to address business system, processes and resources",en,English,0
b645ab43a4,"Dubai is a modern city that can easily reach major airports, travel agencies, hotels and Western commercial institutions. It is an ideal transit station.",Dubai is the first choice for transit stations.,zh,Chinese,1
7df831c8e2,We will make the goal.,We will fall very close to the target.,el,Greek,2
0c338feb50,"First, injected cannabinoids may not mirror the effects of smoked marijuana.",Smoking marijuana gets people higher than injected them with cannabinoids.,en,English,1
617f1dc5f2,The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,The data would be included in individual reports concerning the constituent units of the federal government.,en,English,2
8adeb402ee,Boca of the Setable Race (Moderate; 5 Hours): Views of Curral das nuns and the Valley of Ribeiro do Poco.,"""Views of Curral da Nuns and the Valley of Ribeiro do Poco"" Is Chapter 5.",en,English,1
162467ddeb,"Certainly FDNY is not responsible for the management of the city's reaction to an emergency, as the mayor's instruction has requested.",The management of the city's reaction was processed by an organization other than FDNY.,vi,Vietnamese,0
6595e3320d,"While the numbers are impressive, scholarships are often important for hiring top students with financial needs.",We do not give scholarships or financial assistance to students.,el,Greek,2
a7a2a9fc5e,"INTEREST RATE - The price charged per unit of money borrowed per year, or other unit of time, usually expressed as a percentage.",Interest rate can range from zero to fifteen percent.,en,English,1
e7bc15b1b9,that's hilarious to to get that jack off that's right oh that's a funny story,I will enjoy telling that story.,en,English,1
f50208a07e,"Mr. Erlenborn attended undergraduate courses at the University of Notre Dame, Indiana University, the University of Illinois, and Loyala University of Chicago.",Mr. Erlenborn attended classes in at least four different universities.,en,English,0
00ddb7aea4,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can afford attorneys and bouncing between lawyers.,en,English,2
b0ee325483,Finally the woman opened her eyes feebly.,She opened her eyes.,en,English,0
b332076fc2,"Of course, assuming that quantum uncertainty in the law is quite aggressive, but this does not seem impossible.",Some people who think that there are quantum uncertainty in the law may be radical.,zh,Chinese,1
a5484dd197,The finest is the huge conical-roofed Tomb/Pillar of Absalom (King David's son).,The Tomb/Pillar of Absalom has a large cone-shaped roof.,en,English,0
d68455eccf,"This week presents the Ken Star report on the love of the great star of excitement, which will be counted as romance in the presidential Lemo, Oval Office and even liner Badome!",The questioner had knowledge about the White House,ur,Urdu,0
34cd54592e,When the sand was createdThe sand entered the stable corner.Then expanded into the edge of the table,Sand was scooping by a car to suppress the soil.,th,Thai,1
0393073e4a,"Unless the mention of the Ritz was an accidental remark?""",Was mentioning the Ritz accidental?,en,English,0
09b8ecb23f,They are the four sentences you always insert in plagiarized papers to throw the professor off track.,These four sentences force professors to skim over the paragraph and inadvertently skip the plagiarized information.,en,English,1
a9ee3935c9,"Built in 688-691 AD, it is decorated with thousands of excellent, mainly blue and yellow, Persian ceramic tiles, with Koran Scriptures in lintel.","The walls have 100,000 tiles on them.",el,Greek,1
0477c22e6d,This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,en,English,0
3074381515,"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.,en,English,0
fc11d4b8cb,"Old, he said with a cold and steep voice as a steel, your station is on the deck of weapons.",OLE is always at the gun station.,el,Greek,1
489847e94d,"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies.,en,English,0
a235cb04e1,"Could you please speak to this issue, with regard to the social ramifications of gum chewing in public?","You don't have an opinion on gum chewing in public, I see.",en,English,2
772391afdf,The H-2A worker must depart the country and is subject to deportation for failing to do so.,The H-2A worker committed a crime.,en,English,1
e90c9dda0f,The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,en,English,0
9f89cd56c7,"Relaho can also describe a joking connection, a mysterious turn and forth, which laughs with laughter the tension and deletes the cause of the current tension.",Relajo is joking about the economy.,bg,Bulgarian,1
8c3a69f486,You have to walk through it).,You can stay where you are.,en,English,2
836766ea05,"The 28 sta?­tues representing the kings of Judah and Israel have been remodeled after the drawings of Viollet-le-Duc; the original ones were pulled down during the Revolution, since they were thought to be the kings of France.",The people who pulled down the statues were executed.,en,English,1
ee546513c1,well damn!Maybe you will explain yourself?Where has Voverstone gone?,I want you to explain yourself!I know you know where Volverstone is.,hi,Hindi,1
ba01e23d88,"Like I am proud of the pride, I feel that the main reason for this pursuit of the lack of linguistic desire is available to the home states.",Regional language is possible due to lack of language desire.,sw,Swahili,0
648feccb3d,Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",en,English,0
b23bdc1a30,Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,en,English,0
bf6fb470ee,"Linguists who write books, apparently, always impose their point of view, sometimes, to put it mildly, unintelligible.",Most linguists write books to promote others.,ru,Russian,2
b5ca4c01f3,i think that the people that are um have um a lower income which you automatically equate with lower education,I think higher income equals lower education.,en,English,2
44bad2a664,"Be of good cheer,","Be of good cheer, for beer time is near.",en,English,1
5594f92e61,"In reviewing this history, it's important to make some crucial distinctions.",There's no point in analyzing the past.,en,English,2
970707c7f5,"The Black River, at 71 km (44 miles), is the longest in Jamaica; it was an arterial route used to transport rum and lumber from the inland plantations.",The Black River received its name because the water in its stream is actually black.,en,English,1
3fa01b03f8,in our town of five thousand we have one that is uh local FM AM station and their news is fed from CNN too uh it's more of uh,The town radio station never relied on any national news sources.,en,English,2
2c9359d401,It would not explode without the detonator.,The trigger makes it expose.,fr,French,0
0bc8210460,There are certain categories of control activities that are common to all agencies.,Control activities such as safe business practices are universally common across all agencies.,en,English,1
cfcc3db071,Wander the floors and talk to the actors who play the roles of the seafarers and the hikers.,Actors are paid ten dollars a day to pretend to be pilgrims.,el,Greek,1
d37166ccce,"More than 100 judges, lawyers and dignitaries were present for the gathering.",Only two people showed up for the gathering.,en,English,2
1575809c3c,He had forgotten about Adrin.,He remembered Adrin all this time.,en,English,2
db6d9923f3,"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",en,English,0
1e9caaf93c,The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,en,English,0
9d597f75c9,"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",en,English,0
1e0cc288b1,"However, they live in a small town named Ivans outside Augusta. Ivanus is still there, and many of my relatives still live there.",They have 20 family members living in Evans.,zh,Chinese,1
9deab91b98,The detainee dates the meeting with Slah of October 1999.,The meeting took place in December 1998.,ru,Russian,2
8d7f3793e5,"He bid in jail, Jeremy said quietly",Jeremy icing to call the jerk.,ur,Urdu,1
56d48aa27a,"They won't be killing off George Clooney's character at ER like they did to Jimmy Smits at NYPD . Instead, Dr. Doug Ross is being forced out over the next two episodes because the maverick heartthrob gives an unauthorized painkiller to a terminally ill boy (Thursday, 10 p.m.).",George Clooney will lose his job because the producers don't think he can act.,en,English,2
fd0d3579c4,"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,en,English,0
e21db52eb1,yeah because those things i think would just snap you know,Because they would survive easily.,en,English,2
f9f20650aa,We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,en,English,0
6960d6ed8a,"vahee baat new york time ke lie nahin kaha ja sakata hai.Cocaine vivaad par apne sampaadakey mein, times ne bush ko eemaanadaar hone kee salaah dee aur kaha ki desh ko apana upaay karane deen.",The Times said that Bush should just lie to everyone.,hi,Hindi,2
85cc0bfc3d,"In the case of speech, Fiss appears to believe that the reason the American public is less enlightened than he would wish it to be concerning matters such as feminism, the rights of homosexuals, and regulation of industry is that people are denied access to the opinions and information that would enlighten them.","People in America are very well informed on controversial topics, according to Fiss.",en,English,2
9752c3f911,The time for parents and children together is the first step to implement the ideas and practice that I will discuss in this book.,"In this book, I will mention the topics that parents and their children can do while spending time together.",vi,Vietnamese,0
e1cfb4f6e6,"The rustic Bras-David picnic area, for example, is set alongside a burbling stream.",The picnic area is not near a stream.,en,English,2
13b2d2328b,and uh well if you if you got got him a power mower it'd probably take him a lot less time to do it but i enjoy doing it i feel good doing it uh i i feel a lot better doing it with a power mower with that with a  with a pull tractor on it so i don't have to push so hard,He would mow your entire yard in eight minutes if he was using a power mower.,en,English,1
8d360ce050,"Progress in aviation is made, but long -term attention is needed.",The budgets must be increased overall for optimal results.,el,Greek,1
dc5c4be838,um-hum yeah i saw that for the first time yesterday in the evening,I was very impressed when I saw that yesterday.,en,English,1
12d5e4b5de,He told me exactly what he needed and that he needed it today.,He said I could submit it anytime.,el,Greek,2
0ef9524ce7,"Bauerstein.""",Alfred Inglethorp,en,English,2
5bb743d827,The museum was not solid on the list or label,Those museums don't like to be written.,sw,Swahili,1
0cc7c4de1b,What have we for lunch?,What are we going to eat for lunch?,en,English,0
840da92d5e,A poll of Hong Kong residents finds them sanguine about the city's future.,A poll of Hong Kong residents finds them more sanguine about the city's future than before.,en,English,1
1b1f7455ef,"Nearly 100,000 people come here every day to enjoy the latest attractions of the dazzling buildings and explore this changing city.",There is no developed tourism industry in this city.,zh,Chinese,2
0fba15690f,There are two types of evolutionary advantages for average appearance.,It is useful to look normal because people leave you in your condition.,ar,Arabic,1
e0bec36772,well i meant when when you were when you were growing up i mean like Galveston,You grew up in Galveston and I grew up in Dallas.,en,English,1
fb3122d537,I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,en,English,0
2eca16560f,you know they they like what they're doing they you know they feel good about what they're doing that type of thing it's more,You can see the way that their whole demeanor has changed.,en,English,1
bb14b19517,Can I help you?',I'm not helping you at all.,en,English,2
ee4804f903,"The traditional opening time for many hotels is the Orthodox Easter, although some do not open until the end of April.",The hotels don't open in Halloween.,en,English,1
a080e008b4,medical and surgical expense coverage.,Medical and surgical expenses were fully covered,en,English,1
